#x	Phi [cm^3/s]
0.0001	6.39499e-21
0.000120226	8.96204e-21
0.000144544	8.06842e-21
0.00017378	1.04754e-20
0.00020893	1.25225e-20
0.000251189	2.04703e-20
0.000301995	1.74461e-20
0.000363078	2.45411e-20
0.000436516	2.73374e-20
0.000524807	2.93512e-20
0.000630957	4.05758e-20
0.000758578	4.00661e-20
0.000912011	4.80079e-20
0.00109648	7.22952e-20
0.00131826	7.25133e-20
0.00158489	8.48503e-20
0.00190546	9.05928e-20
0.00229087	1.19771e-19
0.00275423	1.56942e-19
0.00331131	1.54789e-19
0.00398107	2.29486e-19
0.0047863	2.55108e-19
0.0057544	2.68833e-19
0.00691831	3.23469e-19
0.00831764	3.7801e-19
0.01	4.13959e-19
0.0120226	4.65545e-19
0.0144544	5.07222e-19
0.017378	5.08662e-19
0.020893	5.75157e-19
0.0251189	5.70971e-19
0.0301995	5.93584e-19
0.0363078	5.96531e-19
0.0436516	5.78681e-19
0.0524807	5.62967e-19
0.0630957	5.32684e-19
0.0758578	4.6955e-19
0.0912011	4.08556e-19
0.109648	3.38277e-19
0.131826	2.75687e-19
0.158489	2.05185e-19
0.190546	1.14692e-19
0.229087	6.60304e-20
0.275423	4.43717e-20
0.331131	4.10266e-21
0.398107	1.39014e-21
0.47863	2.77041e-22
0.57544	0
0.691831	0
0.831764	0
