#x	Phi [cm^3/s]
0.0001	2.38363e-20
0.000120226	2.63352e-20
0.000144544	3.22779e-20
0.00017378	3.22374e-20
0.00020893	3.53226e-20
0.000251189	5.15082e-20
0.000301995	5.91453e-20
0.000363078	6.18508e-20
0.000436516	9.0321e-20
0.000524807	9.27333e-20
0.000630957	1.03859e-19
0.000758578	1.4079e-19
0.000912011	1.74208e-19
0.00109648	1.82837e-19
0.00131826	2.58326e-19
0.00158489	2.90207e-19
0.00190546	3.08254e-19
0.00229087	3.80242e-19
0.00275423	4.04808e-19
0.00331131	4.46469e-19
0.00398107	5.02754e-19
0.0047863	5.71659e-19
0.0057544	6.24641e-19
0.00691831	6.89969e-19
0.00831764	7.75563e-19
0.01	8.11027e-19
0.0120226	8.79868e-19
0.0144544	8.9252e-19
0.017378	9.18608e-19
0.020893	9.49855e-19
0.0251189	9.46859e-19
0.0301995	9.47268e-19
0.0363078	8.98266e-19
0.0436516	8.14653e-19
0.0524807	7.81975e-19
0.0630957	6.2426e-19
0.0758578	5.55873e-19
0.0912011	4.87902e-19
0.109648	3.92772e-19
0.131826	3.09763e-19
0.158489	2.40479e-19
0.190546	1.50321e-19
0.229087	9.75063e-20
0.275423	6.60269e-20
0.331131	2.12425e-20
0.398107	1.21363e-20
0.47863	5.65839e-21
0.57544	6.98872e-22
0.691831	0
0.831764	0
