#x	Phi [cm^3/s]
0.0001	6.93672e-22
0.000120226	0
0.000144544	1.36539e-22
0.00017378	2.78566e-22
0.00020893	0
0.000251189	0
0.000301995	1.36539e-22
0.000363078	0
0.000436516	0
0.000524807	6.88184e-22
0.000630957	2.78566e-22
0.000758578	1.36539e-22
0.000912011	1.68293e-21
0.00109648	1.98401e-21
0.00131826	9.6675e-22
0.00158489	1.10878e-21
0.00190546	2.95076e-21
0.00229087	1.42687e-21
0.00275423	3.93453e-21
0.00331131	3.20133e-21
0.00398107	3.88951e-21
0.0047863	5.66945e-21
0.0057544	2.7692e-21
0.00691831	9.06182e-21
0.00831764	6.44218e-21
0.01	1.04737e-20
0.0120226	1.3361e-20
0.0144544	1.56911e-20
0.017378	1.51014e-20
0.020893	1.70689e-20
0.0251189	1.78241e-20
0.0301995	1.81222e-20
0.0363078	2.46288e-20
0.0436516	1.9173e-20
0.0524807	2.43629e-20
0.0630957	1.43557e-20
0.0758578	1.00861e-20
0.0912011	4.09358e-21
0.109648	1.25081e-21
0.131826	4.15106e-22
0.158489	5.74153e-22
0.190546	0
0.229087	0
0.275423	0
0.331131	0
0.398107	0
0.47863	0
0.57544	0
0.691831	0
0.831764	0
