#x	Phi [cm^3/s]
0.0001	0
0.000120226	0
0.000144544	0
0.00017378	0
0.00020893	0
0.000251189	0
0.000301995	1.6536e-22
0.000363078	0
0.000436516	1.6536e-22
0.000524807	0
0.000630957	0
0.000758578	0
0.000912011	0
0.00109648	0
0.00131826	1.6536e-22
0.00158489	0
0.00190546	1.6536e-22
0.00229087	0
0.00275423	1.6536e-22
0.00331131	0
0.00398107	3.30721e-22
0.0047863	4.96081e-22
0.0057544	4.96081e-22
0.00691831	3.30721e-22
0.00831764	1.32288e-21
0.01	8.26802e-22
0.0120226	9.92162e-22
0.0144544	1.6536e-21
0.017378	1.81896e-21
0.020893	1.15752e-21
0.0251189	1.15752e-21
0.0301995	1.98432e-21
0.0363078	1.15752e-21
0.0436516	1.6536e-21
0.0524807	2.64577e-21
0.0630957	9.92162e-22
0.0758578	8.26802e-22
0.0912011	3.30721e-22
0.109648	0
0.131826	0
0.158489	0
0.190546	0
0.229087	0
0.275423	0
0.331131	0
0.398107	0
0.47863	0
0.57544	0
0.691831	0
0.831764	0
